Lat,Lng,Type,Value,Time
0,0,3,101,116
0,0,3,111,110
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,111,110
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,3,101,116
0,0,4,82,1468278310
0,0,4,82,1468279518
-45.839,170.508,1,17,1468281684
-45.839,170.508,1,17,1468281685
-45.839,170.508,1,17,1468281686
-45.839,170.508,1,17,1468281686
-45.839,170.508,1,17,1468281687
-45.839,170.508,1,17,1468281688
-45.839,170.508,1,17,1468281705
-45.839,170.508,1,17,1468281706
-45.839,170.508,1,17,1468281707
-45.839,170.508,1,17,1468281707
-45.839,170.508,1,17,1468281709
-45.839,170.508,1,17,1468281716
-45.839,170.508,1,17,1468281719
-45.839,170.508,1,17,1468281719
-45.839,170.508,1,17,1468281719
-45.839,170.508,1,17,1468281721
-45.839,170.508,1,17,1468281728
-45.839,170.508,1,17,1468281729
-45.839,170.508,1,17,1468281733
-45.839,170.508,1,17,1468281733
-45.839,170.508,1,17,1468281734
-45.839,170.508,1,17,1468281737
-45.839,170.508,1,17,1468281742
-45.839,170.508,1,17,1468281966
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,9,110,99
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-45.839,170.508,1,17,33
-45.839,170.508,1,17,33
